序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
195,岱勒转债!,123024,2019/4/17,岱勒新材,300700,机械装备,专用设备,114.48,1.77%,0.76%,22.32,5.04%,90,38.10%,113,24.9,3.74,89.64,27.70%,转股中,3.54年,1.54年,11.40%,10.20%,2.1,18,-0.37%,-1.03%,-6.70%,-6.88%,90.01,87.82,0.5,A+,7.60%,142.18 ,139.3,162,49.3,168,9.70%,32,岱勒转债!
29,道恩转债,128117,2020/7/20,道恩股份,2838,化工,橡胶塑料,117.65,-0.80%,-2.03%,31.01,-3.93%,8.2,1.90%,123.5,29.32,7.77,105.76,11.20%,4月5天,5.82年,3.82年,2.90%,3.00%,3.6,126,0.85%,0.17%,-3.11%,-3.29%,80.81,85.94,0.72,AA-,6.61%,128.85 ,129.5,71,43.6,131,2.00%,8,道恩转债
256,道氏转债!!,123007,2018/1/26,道氏技术,300409,建筑,建筑行业,114.244,0.82%,1.71%,14.04,4.39%,69,20.10%,111.3,14.95,2.7,93.91,21.60%,转股中,3.31年,1.31年,4.70%,4.40%,3,65,-0.80%,-1.42%,-6.92%,-7.26%,93.93,91.1,0.58,AA-,6.50%,135.84 ,134.6,121,40.6,103,8.80%,15,道氏转债!!
237,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,108,-0.10%,-0.06%,29.51,-0.37%,3.2,1.20%,116.3,34.54,1.51,85.44,26.40%,转股中,3.87年,1.87年,7.50%,6.40%,2.5,34,1.97%,1.20%,-2.41%,-2.67%,90.73,91.96,0.43,AA-,6.50%,134.40 ,130.6,81,38.6,83,0.30%,36,德尔转债!
150,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,113.79,0.58%,0.54%,14.64,1.60%,6.5,2.50%,121.1,14.1,2.9,103.83,9.60%,转股中,5年48天,3年48天,12.10%,12.50%,2.3,19,1.25%,0.53%,-2.60%,-2.85%,82.2,83.76,0.7,A+,7.71%,123.39 ,123.8,22,40,96,5.70%,43,迪贝转债!
257,迪龙转债!,128033,2018/1/29,雪迪龙,2658,城市公用,三废处理,103.25,-0.35%,-0.17%,6.54,-2.39%,4.4,0.80%,109.8,8.83,2.01,74.07,39.40%,转股中,3.31年,1.31年,13.10%,9.70%,5.2,40,1.91%,1.34%,-0.46%,-0.80%,96.45,95.85,0.22,AA,4.40%,142.65 ,132.4,108,36,55,-2.70%,37,迪龙转债!
196,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,107.5,1.82%,2.26%,6.54,10.10%,84,13.20%,114.9,7.04,1.83,92.9,15.70%,转股中,4.54年,3.54年,25.30%,23.50%,6,24,1.51%,0.91%,-0.58%,-0.85%,90.32,95.36,0.4,AA,4.40%,123.20 ,122.1,14,26.7,12,22.60%,49,迪森转债!
292,电气转债!,113008,2015/2/16,上海电气,601727,能源电力,电力设备,114.67,-0.68%,-0.16%,5.56,-1.42%,23,0.50%,106.6,5.13,1.3,108.38,5.80%,转股中,0.41年,回售中,5.20%,5.70%,44,843,-16.30%,-18.80%,回售中,回售中,103,105.18,0.59,AAA,3.35%,120.47 ,121,8,15.8,1,-2.90%,28,电气转债!
185,鼎胜转债!,113534,2019/4/30,鼎胜新材,603876,有色金属,小金属,119.62,1.72%,-1.36%,14.5,0.69%,14,1.00%,114.9,15.18,1.75,95.52,25.20%,转股中,4.59年,2.59年,19.10%,18.20%,12,63,-0.89%,-1.46%,-5.19%,-5.41%,92.21,95.15,0.52,AA,4.40%,144.82 ,143.7,197,48.6,165,-9.20%,32,鼎胜转债!
119,东风转债,113030,2020/1/20,东风股份,601515,造纸包装,包装材料,116.95,-0.31%,-0.48%,6.54,-1.36%,0.2,0.10%,117.3,6.75,2.15,96.89,20.70%,转股中,5.30年,3.30年,3.40%,3.30%,3,87,0.06%,-0.52%,-3.42%,-3.62%,89.41,93.56,0.58,AA,4.51%,137.65 ,137,144,43.5,128,-6.50%,15,东风转债
74,东时转债,113575,2020/4/30,东方时尚,603377,其他,其他,148.53,-0.98%,-0.25%,23.34,-1.31%,27,4.20%,113.5,14.56,7.57,160.3,-7.30%,40天,5.59年,3.59年,3.10%,5.00%,4.3,137,-4.78%,-5.18%,-9.16%,-9.32%,88.3,89.41,0.94,AA,4.51%,141.23 ,136.8,142,47.3,159,5.70%,17,东时转债
231,东音转债!!,128043,2018/8/27,罗欣药业,2793,医药,化学制药,289.8,-3.08%,0.74%,17.17,-2.33%,283,250%,114.5,6.22,6.41,276.05,5.00%,转股中,3.91年,1.91年,0.20%,0.40%,0.4,248,-21.40%,-21.90%,-27.70%,-27.70%,94.33,97.49,1,AA,4.40%,294.80 ,303.6,284,206.1,284,1.60%,11,东音转债!!
105,恩捷转债!,128095,2020/2/28,恩捷股份,2812,电子,元器件制,139.31,-0.78%,-0.44%,85.92,-1.47%,49,2.20%,115.3,65.09,14.83,132,5.50%,转股中,5.44年,3.44年,2.30%,3.10%,16,692,-3.48%,-3.95%,-7.92%,-8.09%,88.89,91.44,0.83,AA,4.51%,144.81 ,146.6,211,55.2,200,7.60%,17,恩捷转债!
2,法兰转债,113598,2020/8/25,法兰泰克,603966,机械装备,工程机械,140.61,-0.66%,2.49%,20.1,2.03%,90,19.30%,121.2,13.88,3.97,144.81,-2.90%,5月4天,5.90年,3.90年,7.80%,11.30%,3.3,42,-2.53%,-3.12%,-7.18%,-7.35%,80.65,83.99,0.9,AA-,6.61%,137.71 ,136.4,138,52.4,187,20.40%,3,法兰转债
42,泛微转债,113587,2020/7/14,泛微网络,603039,计算机及,软件开发,157.88,-2.13%,0.19%,101.8,-2.11%,10,2.00%,124.3,64.33,23.1,158.25,-0.20%,3月17天,5.78年,3.78年,1.50%,2.30%,3.2,216,-4.13%,-4.79%,-10.10%,-10.30%,81.39,86.84,0.92,AA-,6.61%,157.68 ,157.5,235,70.7,243,2.10%,3,泛微转债
50,飞鹿转债,123052,2020/7/3,飞鹿股份,300665,化工,化工,128.775,0.00%,0.00%,12.5,0.00%,0,0.00%,127.3,9.9,3.32,126.26,2.00%,3月7天,5.75年,3.75年,11.60%,14.70%,1.8,15,-0.20%,-0.98%,-5.09%,-5.32%,79.15,84.21,0.85,A+,7.71%,130.78 ,131.3,90,47.1,156,9.20%,8,飞鹿转债
137,烽火转债,110062,2019/12/25,烽火通信,600498,通信互联,通信设备,121.52,-0.02%,-0.61%,25.41,-1.01%,14,0.40%,111,25.65,2.86,99.06,22.70%,转股中,5.24年,3.24年,10.40%,10.30%,31,298,-1.74%,-2.12%,-4.64%,-4.82%,90.81,90.95,0.63,AAA,4.01%,144.22 ,144,200,53,189,-6.20%,20,烽火转债
127,孚日转债!,128087,2020/1/16,孚日股份,2083,服装纺织,家纺,103.163,-0.25%,0.00%,5.17,-0.58%,3.6,0.50%,113.3,6.3,1.23,82.06,25.70%,转股中,5.28年,3.28年,13.80%,11.40%,6.5,47,1.83%,1.36%,0.18%,-0.03%,89.48,90.46,0.42,AA,4.51%,128.86 ,124.3,26,33.8,36,-3.40%,50,孚日转债!
57,福莱转债,113035,2020/6/17,福莱特,601865,能源电力,太阳能,175.85,-0.09%,-0.26%,24.35,-0.37%,106,4.20%,120.3,13.56,9.53,179.57,-2.10%,2月29天,5.72年,3.72年,3.00%,5.50%,15,476,-6.52%,-7.06%,-12.20%,-12.40%,87.77,94.2,0.94,AA,4.51%,173.75 ,172.1,260,77.9,256,2.40%,4,福莱转债
218,福能转债!,110048,2018/12/28,福能股份,600483,能源电力,电力供应,117.3,0.26%,-0.39%,7.92,-0.25%,24,0.70%,113.9,8.12,1.02,97.54,20.30%,转股中,4.26年,2.26年,20.30%,19.80%,28,139,-0.70%,-1.28%,-5.13%,-5.38%,93.96,96.43,0.55,AA+,4.20%,137.60 ,137.1,146,40.6,102,-7.20%,8,福能转债!
