序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
273,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,104.205,-0.76%,0.15%,7.29,-2.80%,11,1.30%,110.8,9.48,6.79,76.9,35.50%,转股中,2.83年,0.83年,15.00%,11.60%,7.8,52,2.22%,1.50%,-2.56%,-2.86%,94.77,91.28,0.22,A+,7.19%,139.71 ,131.5,36.7,-0.70%,59,久其转债!
196,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,109.888,-1.54%,-0.18%,6.7,-2.62%,33,8.10%,121,6.76,2.49,99.11,10.90%,转股中,4.56年,2.56年,14.60%,14.50%,3.7,25,2.19%,1.37%,-1.97%,-2.25%,86.13,88.36,0.66,A+,7.33%,120.79 ,120.7,32.3,15.40%,57,今飞转债!
47,凌钢转债!,110070,2020/5/13,凌钢股份,600231,钢铁,炼钢,104.43,-0.33%,-0.42%,2.32,-1.69%,2,0.40%,117.8,2.75,0.83,84.36,23.80%,2月9天,5.68年,3.68年,6.80%,5.80%,4.4,64,2.19%,1.62%,-0.07%,-0.28%,87,90.58,0.44,AA,4.84%,128.23 ,124.5,33.9,-1.40%,11,凌钢转债!
250,迪龙转债!,128033,2018/1/29,雪迪龙,002658,城市公用,三废处理,102.501,-0.77%,0.77%,6.6,0.00%,1.4,0.30%,109.8,8.83,2,74.75,37.10%,转股中,3.38年,1.38年,13.00%,9.70%,5.2,40,2.10%,1.54%,0.03%,-0.29%,95.66,94.5,0.21,AA,4.63%,139.60 ,130.3,34.6,1.10%,38,迪龙转债!
154,智能转债!,128070,2019/7/23,智能自控,002877,机械装备,通用设备,106.436,0.13%,-0.90%,7.88,-1.50%,7.4,3.00%,117.6,9.51,3.71,82.86,28.50%,转股中,4.90年,无权,8.80%,7.30%,2.3,26,2.10%,1.45%,无权,无权,无权,83.82,0.52,A+,7.33%,134.94 ,130,46.2,-0.40%,35,智能转债!
280,顺昌转债!!,128010,2016/2/23,澳洋顺昌,002245,交通运输,物流业,106.384,0.24%,-0.24%,4.76,0.00%,3.8,0.70%,109.6,9.25,2.18,51.46,107%,转股中,1.45年,回售中,10.90%,5.60%,5.1,47,2.09%,0.84%,回售中,回售中,100.27,102.88,0,AA,4.49%,213.38 ,161.3,58.4,1.90%,43,顺昌转债!!
136,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,109.02,-1.41%,-0.07%,13.39,-2.26%,15,5.90%,121.1,14.1,2.03,94.96,14.80%,转股中,5.21年,3.21年,13.20%,12.50%,2.3,17,2.09%,1.37%,-1.28%,-1.53%,82.04,83.74,0.65,A+,7.54%,123.82 ,123.1,39.3,-0.20%,44,迪贝转债!
14,天创转债,113589,2020/7/16,天创时尚,603608,服装纺织,鞋服行业,102.4,-0.60%,-0.73%,9.57,-3.63%,12,2.00%,115.3,12.64,1.92,75.71,35.20%,4月26天,5.87年,3.87年,14.60%,11.00%,6,41,2.08%,1.60%,0.34%,0.16%,85.91,87.81,0.37,AA,4.84%,137.60 ,129.1,41.3,-3.70%,3,天创转债
220,岭南转债!,128044,2018/9/4,岭南股份,002717,城市公用,生态环境,103.505,-0.47%,0.08%,4.24,-1.85%,1.9,0.30%,111.8,5.91,1.42,71.74,44.30%,转股中,4年5.0天,2年5.0天,10.20%,7.30%,6.6,65,1.98%,1.42%,-0.09%,-0.39%,93.7,93.61,0.21,AA,4.63%,147.81 ,135.3,41.6,-4.10%,30,岭南转债!
111,森特转债,113557,2020/1/10,XD森特股,603098,建筑,建筑工程,108.87,-1.30%,0.23%,9.46,-1.87%,4.7,0.70%,120.7,10.11,2.23,93.57,16.40%,转股中,5.36年,3.36年,13.20%,12.40%,6,45,1.98%,1.30%,-1.29%,-1.51%,85.37,89.62,0.57,AA-,5.84%,125.27 ,124.2,34.5,-1.70%,35,森特转债
251,吉视转债!,113017,2018/1/15,吉视传媒,601929,传媒娱乐,影视娱乐,102.93,-0.13%,0.44%,2.31,1.32%,15,1.00%,109.8,2.95,1.09,78.31,31.40%,转股中,3.38年,1.38年,21.70%,17.00%,16,72,1.97%,1.41%,-0.24%,-0.56%,96.37,96.01,0.24,AA+,4.13%,134.33 ,127.6,31.2,2.40%,51,吉视转债!
216,长久转债!,113519,2018/11/30,长久物流,603569,交通运输,物流业,110.97,-0.25%,-0.46%,10.02,-1.76%,1.3,0.20%,120.1,11.15,2.33,89.87,23.50%,转股中,4.25年,2.25年,12.40%,11.20%,7,56,1.92%,1.08%,-2.84%,-3.12%,93.01,99.52,0.4,AA,4.63%,134.47 ,132.1,32.6,2.40%,17,长久转债!
186,苏银转债!,110053,2019/4/3,江苏银行,600919,金融,银行行业,109.72,-0.35%,-0.04%,6.11,-1.13%,99,0.40%,119.1,7.28,0.61,83.93,30.70%,转股中,4.59年,无权,28.40%,23.80%,200,705,1.86%,1.11%,无权,无权,无权,101.59,0.34,AAA,3.63%,140.42 ,135.5,33.9,-0.80%,50,苏银转债!
139,金轮转债!,128076,2019/11/8,金轮股份,002722,机械装备,专用设备,105.21,-0.42%,-0.74%,12.75,-2.22%,4.4,1.90%,115.3,14.76,1.21,86.38,21.80%,转股中,5.18年,3.18年,9.60%,8.30%,2.1,22,1.82%,1.28%,-0.41%,-0.63%,86.04,86.47,0.52,AA-,5.84%,127.01 ,124,37.6,-1.10%,43,金轮转债!
238,新凤转债!,113508,2018/5/16,新凤鸣,603225,服装纺织,纺织行业,105.2,-0.01%,0.31%,11.32,1.62%,8.1,0.40%,112.3,15.78,1.4,71.74,46.60%,转股中,3.71年,1.71年,13.60%,9.70%,21,158,1.81%,1.19%,-1.23%,-1.52%,94.48,95.23,0.18,AA,4.63%,151.80 ,138.7,43.4,4.70%,28,新凤转债!
268,时达转债!,128018,2017/12/4,新时达,002527,机械装备,机器人及,104.45,0.16%,-0.50%,5.55,-1.77%,4,0.40%,110.3,7.42,1.39,74.8,39.60%,转股中,3.24年,1.24年,25.60%,19.10%,8.8,34,1.73%,1.13%,-1.13%,-1.52%,96.5,95.56,0.19,AA,4.63%,144.05 ,134.1,37.6,1.60%,42,时达转债!
61,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,118.72,-1.61%,-0.86%,19.42,-3.33%,5,1.60%,130.1,17.61,2.95,110.28,7.70%,48天,5.61年,3.61年,12.40%,13.70%,2.5,20,1.69%,0.81%,-2.97%,-3.26%,80.92,87.52,0.74,A+,7.54%,126.42 ,127.2,39.6,-5.00%,19,久吾转债
169,核能转债!,113026,2019/5/8,中国核电,601985,能源电力,核电,102.01,0.00%,-0.24%,4.33,-1.14%,21,0.30%,109.8,6.08,1.35,71.22,43.20%,转股中,4.68年,2.68年,11.60%,8.20%,78,674,1.61%,1.21%,0.45%,0.22%,93.4,93.22,0.21,AAA,3.63%,145.21 ,132.8,39.4,-2.10%,52,核能转债!
206,钧达转债!,128050,2018/12/27,钧达股份,002865,汽车,零部件制,115.502,1.13%,-0.61%,16.15,0.81%,116,31.60%,123.5,14.83,2.31,108.9,6.10%,转股中,4.34年,2.34年,16.40%,17.80%,3.2,20,1.59%,0.66%,-4.22%,-4.49%,90.7,97.92,0.64,AA-,5.63%,121.60 ,122.1,24.2,9.30%,62,钧达转债!
223,苏农转债!,113516,2018/8/20,苏农银行,603323,金融,银行行业,107.5,-0.43%,-0.17%,4.67,-1.68%,14,1.00%,114.3,5.52,0.72,84.6,27.10%,转股中,3.98年,无权,15.30%,13.00%,13,84,1.58%,0.92%,无权,无权,无权,97.56,0.35,AA+,4.13%,134.60 ,130.4,32.8,-2.90%,38,苏农转债!
112,孚日转债!,128087,2020/1/16,孚日股份,002083,服装纺织,家纺,104.5,-0.36%,-1.05%,5.41,-2.87%,6.9,1.00%,113.3,6.3,1.27,85.87,21.70%,转股中,5.36年,3.36年,13.20%,11.40%,6.5,49,1.55%,1.09%,-0.19%,-0.40%,88.05,88.43,0.49,AA,4.84%,126.20 ,123.1,34.7,-5.10%,49,孚日转债!
148,翔鹭转债!,128072,2019/9/16,翔鹭钨业,002842,有色金属,小金属,107.4,-1.20%,-0.32%,11.9,-3.80%,4.8,1.50%,115.5,15.31,3.6,77.73,38.20%,转股中,5年11天,3年11天,9.20%,7.20%,3,33,1.49%,0.92%,-1.06%,-1.29%,86.8,87.38,0.4,AA-,5.84%,145.60 ,137.1,49.7,5.50%,28,翔鹭转债!
243,杭电转债!,113505,2018/3/27,杭电股份,603618,能源电力,电力设备,106.67,-0.36%,0.12%,6.09,-0.65%,6.7,0.80%,112.3,7.14,1.76,85.29,25.10%,转股中,3.57年,1.57年,17.80%,15.20%,7.5,42,1.48%,0.84%,-2.12%,-2.42%,95.08,95.84,0.37,AA,4.63%,131.77 ,128,32.2,0.90%,39,杭电转债!
141,万里转债!,123032,2019/10/31,万里马,300591,服装纺织,服装纺织,123.701,0.33%,0.89%,8.44,1.56%,110,49.60%,132.8,6.89,5.38,122.5,1.00%,转股中,5.17年,3.17年,6.80%,8.40%,1.8,26,1.44%,0.41%,-4.11%,-4.52%,85.16,92.59,0.78,A+,7.54%,124.70 ,124.9,32.3,12.40%,46,万里转债!
204,奇精转债!,113524,2019/1/7,奇精机械,603677,家电,零部件制,111.07,-1.01%,0.25%,12.79,-1.77%,1.8,0.50%,117.9,14.28,2.46,89.57,24.00%,转股中,4.35年,2.35年,13.40%,12.00%,3.3,25,1.41%,0.68%,-2.83%,-3.09%,92.39,97.23,0.43,AA,4.63%,135.07 ,132.6,35.3,2.60%,46,奇精转债!
172,核建转债!,113024,2019/4/26,中国核建,601611,建筑,建筑工程,102.9,-0.48%,0.14%,6.98,-1.55%,3.6,0.10%,109.7,9.76,1.81,71.52,43.90%,转股中,4.66年,2.66年,16.20%,11.60%,30,185,1.41%,1.01%,0.10%,-0.12%,93.37,93.18,0.22,AAA,3.63%,146.80 ,134.3,40.9,-0.10%,44,核建转债!
146,哈尔转债!,128073,2019/9/11,哈尔斯,002615,其他,家居用品,109.597,0.57%,-0.47%,5.4,0.19%,25,7.80%,115.7,5.72,2.72,94.41,16.10%,转股中,4年13天,2年13天,13.50%,12.80%,3,22,1.37%,0.67%,-3.04%,-3.25%,90.91,93.09,0.53,AA-,5.63%,125.70 ,124.8,31.7,3.70%,39,哈尔转债!
54,鲁泰转债,127016,2020/5/13,鲁 泰Ａ,000726,服装纺织,纺织行业,107.75,-0.32%,-0.22%,7.88,-1.13%,1.9,0.10%,116.2,8.91,0.86,88.44,21.80%,2月7天,5.67年,3.67年,20.70%,18.30%,14,68,1.37%,0.85%,-1.00%,-1.19%,88.25,91.75,0.48,AA+,4.34%,129.55 ,127.1,35.3,-0.80%,19,鲁泰转债
29,飞鹿转债,123052,2020/7/3,飞鹿股份,300665,化工,化工,117.9,-0.59%,-0.78%,10.94,-1.80%,4.9,2.40%,127.3,9.9,3,110.51,6.70%,4月4天,5.82年,3.82年,13.30%,14.70%,1.8,13,1.36%,0.58%,-2.85%,-3.08%,79.03,84.24,0.76,A+,7.54%,124.60 ,125.3,41.1,1.20%,7,飞鹿转债
160,文灿转债!,113537,2019/7/5,文灿股份,603348,汽车,零部件制,114.18,-0.47%,-1.43%,19.03,-3.40%,2.2,0.30%,121.5,19.78,1.92,96.21,18.70%,转股中,4.84年,2.84年,12.90%,12.40%,5.7,44,1.32%,0.55%,-2.96%,-3.24%,88.75,93.81,0.56,AA-,5.63%,132.88 ,132.2,38.3,-3.60%,28,文灿转债!
57,利群转债!,113033,2020/4/21,利群股份,601366,商业零售,商场,107.24,-0.20%,-0.38%,6.22,-1.11%,6.8,0.40%,115.3,7.01,1.16,88.73,20.90%,2月0天,5.64年,3.64年,33.60%,29.80%,18,54,1.32%,0.82%,-0.86%,-1.05%,86.85,88.77,0.52,AA,4.84%,128.14 ,125.7,37,-2.10%,31,利群转债!
225,凯中转债!,128042,2018/9/3,凯中精密,002823,能源电力,电力设备,110.63,-0.98%,0.11%,11.82,-1.99%,2.4,0.50%,116.3,12.94,2.65,91.34,21.10%,转股中,3.97年,1.97年,12.20%,11.10%,4.2,34,1.29%,0.55%,-3.39%,-3.64%,93.37,97.46,0.44,AA,4.63%,131.73 ,129.9,32.5,-2.40%,25,凯中转债!
77,君禾转债,113567,2020/4/3,君禾股份,603617,机械装备,通用设备,111.52,-1.19%,-0.65%,11.3,-2.59%,5.8,2.50%,119.3,11.46,2.64,98.6,13.10%,32天,5.57年,3.57年,9.30%,9.20%,2.1,23,1.25%,0.63%,-1.76%,-1.98%,79.92,80.38,0.71,A+,7.54%,124.62 ,124.4,44.1,-9.00%,30,君禾转债
