序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
60,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,106.36,0.21%,0.19%,8.33,0.73%,3.4,1.00%,124.8,8.91,1.4,93.49,13.80%,57天,5.63年,3.63年,13.60%,12.70%,3.3,24,2.95%,2.18%,-0.41%,-0.65%,84.82,91.62,22.55,114.18,-6.80%,45%,9%,17%,0.55,AA-,5.78%,120.16 ,119.2,27.6,0.30%,38,新春转债
267,顺昌转债!!,128010,2016/2/23,澳洋顺昌,002245,交通运输,物流业,104.968,0.00%,0.00%,4.51,0.00%,0,0.00%,109.6,9.25,2.16,48.76,115%,转股中,1.51年,回售中,11.50%,5.60%,5.1,44,2.92%,1.71%,回售中,回售中,100.27,102.89,0,102.89,2.00%,43%,43%,17%,0,AA,4.31%,219.97 ,161.2,58.3,10.70%,42,顺昌转债!!
236,迪龙转债!,128033,2018/1/29,雪迪龙,002658,城市公用,三废处理,99.7,-0.81%,0.32%,6.29,-2.93%,6,1.20%,109.8,8.83,1.9,71.23,40.00%,转股中,3.44年,1.44年,13.70%,9.70%,5.2,38,2.90%,2.34%,1.78%,1.46%,95.6,94.65,4.11,98.76,1.00%,38%,21%,17%,0.17,AA,4.50%,139.70 ,128.2,32.6,0.80%,38,迪龙转债!
142,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,106.2,0.15%,0.26%,10.65,0.85%,3.3,0.60%,121.8,11.84,1.54,89.95,18.10%,转股中,4.92年,2.92年,21.10%,19.00%,4.9,23,2.90%,2.11%,-0.46%,-0.75%,88.95,94.21,18.5,112.71,-5.80%,37%,12%,18%,0.48,AA-,5.50%,124.30 ,122.5,28.2,0.90%,45,清水转债
252,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,102.39,0.19%,-0.02%,26.3,3.95%,7.8,4.00%,112.3,44.79,2.59,58.72,74.40%,转股中,3.31年,1.31年,9.60%,5.60%,1.9,19,2.89%,2.18%,0.27%,-0.10%,95.04,94.42,1.7,96.12,6.50%,48%,42%,17%,0.04,AA-,5.50%,176.79 ,146.1,51,7.90%,31,嘉澳转债!
192,钧达转债!,128050,2018/12/27,钧达股份,002865,汽车,零部件制,109.25,1.64%,0.51%,14.95,3.89%,41,11.80%,123.5,14.83,2.13,100.81,8.40%,转股中,4.40年,2.40年,17.70%,17.80%,3.2,18,2.89%,1.96%,-1.99%,-2.27%,90.69,98.13,22.12,120.25,-9.10%,57%,7%,18%,0.55,AA-,5.50%,117.65 ,117.7,19.6,7.20%,60,钧达转债!
167,岱勒转债!,123024,2019/4/17,岱勒新材,300700,机械装备,专用设备,102.501,0.39%,-0.16%,17.99,0.95%,5.9,2.70%,113,24.9,3.01,72.25,41.90%,转股中,3.67年,1.67年,14.20%,10.20%,2.1,15,2.72%,2.06%,-0.40%,-0.59%,89.59,87.81,8.19,96,6.80%,60%,32%,18%,0.25,A+,7.20%,144.40 ,132.8,43.2,2.60%,33,岱勒转债!
181,长城转债!,113528,2019/3/20,长城科技,603897,机械装备,专用设备,104.31,0.50%,-0.61%,19.95,-0.25%,4.1,0.60%,117.6,23.75,1.92,84,24.20%,转股中,4.62年,2.62年,17.80%,15.00%,6.3,36,2.69%,1.99%,-0.13%,-0.41%,89.71,92.37,13.87,106.24,-1.80%,46%,15%,17%,0.42,AA-,5.50%,128.51 ,124.6,32.3,1.10%,46,长城转债!
93,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,104.61,0.26%,-0.36%,3.85,-0.26%,22,1.30%,120.2,4.57,1.02,84.25,24.20%,转股中,5.42年,3.42年,23.80%,20.00%,17,70,2.66%,1.99%,-0.02%,-0.27%,90.09,96.27,11.86,108.13,-3.30%,37%,12%,16%,0.39,AA+,4.28%,128.81 ,125,28.7,1.20%,43,建工转债!
92,永创转债!,113559,2020/1/10,永创智能,603901,机械装备,专用设备,103.97,1.05%,-1.00%,7.55,0.13%,2.8,0.50%,118.9,10.32,2.5,73.16,42.10%,转股中,5.43年,3.43年,15.40%,11.20%,5.1,33,2.57%,1.93%,0.27%,0.00%,86.04,88.35,11.17,99.52,4.50%,44%,24%,17%,0.34,AA-,5.78%,146.07 ,134.8,46.4,-0.40%,26,永创转债!
