序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
54,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,108.23,0.32%,0.72%,10.46,1.65%,20,3.60%,121.8,10.55,2.91,99.15,9.20%,2月1天,5.65年,3.65年,10.50%,10.40%,5.2,49,2.16%,1.48%,-0.87%,-1.11%,84.7,89.3,21.20%,0.63,AA-,5.79%,117.43 ,117.3,28,7.10%,29,起步转债!
51,凌钢转债!,110070,2020/5/13,凌钢股份,600231,钢铁,炼钢,104.87,0.34%,-0.34%,2.33,0.00%,6.2,1.30%,117.8,2.75,0.83,84.73,23.80%,2月2天,5.66年,3.66年,6.80%,5.80%,4.4,65,2.12%,1.55%,-0.19%,-0.40%,87.24,90.9,15.37%,0.44,AA,4.79%,128.67 ,125,34.1,-0.20%,12,凌钢转债!
18,天创转债!,113589,2020/7/16,天创时尚,603608,服装纺织,鞋服行业,102.26,0.17%,-0.43%,9.52,-0.73%,11,1.80%,115.3,12.64,1.91,75.32,35.80%,4月19天,5.86年,3.86年,14.70%,11.00%,6,41,2.11%,1.63%,0.38%,0.19%,86.15,88.13,16.03%,0.36,AA,4.79%,138.06 ,129.2,41.1,-1.40%,3,天创转债!
272,时达转债!,128018,2017/12/4,新时达,002527,机械装备,机器人及,103.37,0.04%,0.14%,5.61,0.90%,4.2,0.50%,110.3,7.42,1.4,75.61,36.70%,转股中,3.23年,1.23年,25.30%,19.10%,8.8,35,2.08%,1.46%,-0.40%,-0.79%,96.6,95.67,8.05%,0.2,AA,4.62%,140.07 ,131.1,34.5,2.00%,42,时达转债!
77,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,108.16,3.89%,-1.35%,10.02,9.99%,737,135%,120.7,14.84,2.92,67.52,60.20%,28天,5.56年,3.56年,10.30%,7.00%,5.2,50,2.03%,1.38%,-1.05%,-1.25%,84.54,88.84,21.75%,0.25,AA-,5.79%,168.36 ,148.8,60,9.00%,21,科达转债!
220,长久转债!,113519,2018/11/30,长久物流,603569,交通运输,物流业,110.85,0.28%,-0.32%,9.86,-0.10%,0.2,0.00%,120.1,11.15,2.3,88.43,25.40%,转股中,4.23年,2.23年,12.60%,11.20%,7,55,1.96%,1.12%,-2.82%,-3.10%,93.11,99.65,11.24%,0.38,AA,4.62%,136.25 ,133.3,33.6,0.40%,17,长久转债!
200,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,111.07,-0.37%,0.56%,6.63,0.30%,49,12.10%,121,6.76,2.46,98.08,13.20%,转股中,4.54年,2.54年,14.70%,14.50%,3.7,25,1.95%,1.14%,-2.37%,-2.66%,86.27,88.51,25.49%,0.64,A+,7.32%,124.27 ,124.1,35.6,8.30%,56,今飞转债!
284,顺昌转债!!,128010,2016/2/23,澳洋顺昌,002245,交通运输,物流业,106.661,0.12%,-0.12%,4.88,-1.01%,3.6,0.70%,109.6,9.25,2.23,52.76,102%,转股中,1.44年,回售中,10.60%,5.60%,5.1,48,1.93%,0.67%,回售中,回售中,100.27,103,3.55%,0,AA,4.47%,208.66 ,160.6,57.6,1.40%,42,顺昌转债!!
255,吉视转债!,113017,2018/1/15,吉视传媒,601929,传媒娱乐,影视娱乐,103.16,0.22%,-0.22%,2.31,0.00%,8.8,0.50%,109.8,2.95,1.09,78.31,31.70%,转股中,3.36年,1.36年,21.70%,17.00%,16,72,1.91%,1.35%,-0.39%,-0.72%,96.45,96.11,7.34%,0.24,AA+,4.12%,134.86 ,128,31.6,3.00%,50,吉视转债!
224,岭南转债!,128044,2018/9/4,岭南股份,002717,城市公用,生态环境,103.87,0.26%,-0.05%,4.28,0.94%,2.3,0.30%,111.8,5.91,1.43,72.42,43.40%,转股中,3.99年,1.99年,10.10%,7.30%,6.6,65,1.78%,1.24%,-0.48%,-0.73%,93.3,93.22,11.42%,0.22,AA,4.62%,147.27 ,135.3,42,-0.60%,30,岭南转债!
270,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,106.34,0.08%,-0.13%,27.88,-0.64%,6.5,3.30%,112.3,44.79,2.75,62.25,70.80%,转股中,3.24年,1.24年,9.00%,5.60%,1.9,20,1.74%,1.02%,-2.41%,-2.79%,95.28,94.47,12.56%,0.07,AA-,5.62%,177.14 ,150.4,55.1,3.10%,30,嘉澳转债!
111,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,110.1,-0.64%,-2.14%,4.46,-5.11%,133,7.10%,120.2,4.57,1.18,97.59,12.80%,转股中,5.35年,3.35年,20.50%,20.00%,17,81,1.69%,1.03%,-1.48%,-1.73%,90.35,96.53,14.06%,0.54,AA+,4.29%,122.90 ,122.6,26.1,9.80%,45,建工转债!
65,久吾转债,123047,2020/4/17,久吾高科,300631,机械装备,专用设备,118.73,0.28%,0.48%,18.98,1.06%,1.4,0.50%,130.1,17.61,2.88,107.78,10.20%,41天,5.59年,3.59年,12.70%,13.70%,2.5,20,1.69%,0.81%,-2.98%,-3.28%,81.17,87.86,35.14%,0.72,A+,7.49%,128.93 ,129.7,41.8,-4.50%,18,久吾转债
