序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
99,正裕转债!,113561,2020/2/10,正裕工业,603089,汽车,零部件制,124.67,3.71%,2.43%,13.04,7.06%,47,13.30%,118.5,10.23,2.44,127.47,-2.20%,转股中,5.38年,3.38年,10.70%,13.60%,2.9,27,-0.96%,-1.55%,-4.88%,-5.11%,81.34,81.18,53.57%,0.87,A+,7.49%,122.47 ,121.9,40.5,14.10%,31,正裕转债!
24,比音转债,128113,2020/7/15,比音勒芬,002832,服装纺织,服装行业,124,0.40%,1.72%,15.68,3.09%,18,2.10%,117.3,14.9,4.18,105.23,17.80%,4月7天,5.83年,3.83年,8.40%,8.80%,6.9,82,-0.96%,-1.48%,-4.39%,-4.56%,86.25,89.75,38.16%,0.69,AA,4.79%,141.80 ,142.8,53,-3.50%,3,比音转债
131,利德转债!,123035,2019/12/9,利亚德,300296,电子,LED制,121.511,-0.69%,0.27%,6.83,-0.73%,1.4,0.10%,115.6,6.98,2.06,97.85,24.20%,转股中,5.25年,3.25年,4.60%,4.50%,8,174,-0.97%,-1.49%,-4.49%,-4.70%,90.37,93.21,30.36%,0.57,AA+,4.29%,145.71 ,145.2,52,-0.40%,16,利德转债!
187,亨通转债!,110056,2019/4/16,亨通光电,600487,通信互联,通信设备,120.09,0.70%,-0.03%,16.59,1.04%,20,1.00%,114.8,15.58,2.36,106.48,12.80%,转股中,4.59年,2.59年,5.30%,5.60%,17,324,-0.99%,-1.56%,-5.36%,-5.57%,92.51,95.72,25.46%,0.65,AA+,4.12%,132.89 ,133.7,38,-0.60%,30,亨通转债!
275,林洋转债!,113014,2017/11/13,林洋能源,601222,能源电力,电力设备,113.83,0.90%,-1.00%,7.46,-0.27%,38,1.10%,110.3,8.54,1.35,87.35,30.30%,转股中,3.20年,1.20年,23.00%,20.10%,30,130,-1.00%,-1.59%,-7.27%,-7.63%,96.72,95.79,18.83%,0.39,AA,4.62%,144.13 ,140.3,43.6,-1.90%,24,林洋转债!
264,特一转债!,128025,2017/12/28,特一药业,002728,医药,化学制药,113.799,0.43%,-0.34%,15.19,0.13%,4,1.20%,109.8,14.7,2.67,103.33,10.10%,转股中,3.31年,1.31年,9.70%,10.00%,3,31,-1.10%,-1.64%,-6.88%,-7.18%,94.68,91.98,23.72%,0.66,AA-,5.62%,123.90 ,124.3,29.6,-0.20%,42,特一转债!
74,华安转债!,110067,2020/4/9,华安证券,600909,金融,证券行业,117.41,-0.17%,1.37%,8.36,2.08%,55,1.70%,110.5,8.67,2.22,96.42,21.80%,33天,5.57年,无权,9.20%,8.90%,28,303,-1.10%,-1.44%,无权,无权,无权,90.05,30.38%,0.58,AAA,3.79%,139.21 ,138.4,48.3,0.70%,26,华安转债!
146,游族转债!!,128074,2019/10/21,游族网络,002174,通信互联,互联网,127.2,0.24%,0.77%,20.93,1.01%,19,2.20%,120.3,17.06,3.67,122.68,3.70%,转股中,5年38天,3年38天,3.60%,4.40%,6.8,189,-1.11%,-1.78%,-6.09%,-6.29%,89.24,95.21,33.60%,1,AA,4.79%,130.90 ,131.7,36.5,-3.60%,22,游族转债!!
144,金能转债,113545,2019/11/7,金能科技,603113,煤炭,炼焦,121.98,1.84%,-1.02%,13.18,1.07%,18,1.00%,115.3,11.4,1.55,115.61,5.50%,转股中,5年59天,3年59天,16.80%,19.50%,15,89,-1.11%,-1.62%,-4.78%,-4.99%,89,91.03,34.00%,0.76,AA,4.79%,127.48 ,128.3,37.3,-7.40%,22,金能转债
89,奥瑞转债!,128096,2020/3/16,奥瑞金,002701,造纸包装,包装材料,124.325,-0.54%,-1.36%,5.44,-2.51%,14,1.10%,116,4.64,2.21,117.24,6.00%,1.1天,5.49年,3.49年,8.50%,10.00%,11,128,-1.28%,-1.79%,-4.74%,-4.94%,89.65,92.6,34.26%,0.76,AA+,4.29%,130.33 ,131.4,38.8,0.70%,24,奥瑞转债!
252,江银转债!,128034,2018/2/14,江阴银行,002807,金融,银行行业,113.999,1.61%,-0.87%,4.34,1.40%,9.8,0.50%,109.1,4.5,0.81,96.44,18.20%,转股中,3.45年,无权,18.60%,18.00%,18,94,-1.29%,-1.77%,无权,无权,无权,95.14,19.82%,0.53,AA+,4.12%,132.20 ,131.6,36.4,-0.20%,30,江银转债!
83,桐20转债!,113032,2020/3/20,桐昆股份,601233,服装纺织,纺织行业,121.51,-0.56%,-0.77%,15.14,-1.94%,7.5,0.30%,113.1,14.35,1.49,105.51,15.20%,22天,5.54年,3.54年,8.20%,8.70%,23,280,-1.31%,-1.73%,-4.24%,-4.41%,88.77,90,35.01%,0.69,AA+,4.29%,136.71 ,137.5,47.5,1.60%,21,桐20转债!
211,福能转债!,110048,2018/12/28,福能股份,600483,能源电力,电力供应,120.51,0.59%,-0.90%,9.16,-0.43%,9.6,0.30%,113.9,8.12,1.16,112.81,6.80%,转股中,4.31年,2.31年,17.60%,19.80%,28,161,-1.33%,-1.89%,-6.05%,-6.30%,93.66,96.06,25.45%,0.71,AA+,4.12%,127.31 ,128.2,32.1,5.90%,8,福能转债!
49,聚飞转债,123050,2020/5/15,聚飞光电,300303,电子,LED制,134.11,-1.00%,-0.22%,6.61,-1.49%,22,2.30%,124.2,5.18,3.73,127.61,5.10%,2月5天,5.66年,3.66年,8.30%,10.60%,7.1,84,-1.37%,-2.07%,-6.46%,-6.64%,84.14,90.91,47.52%,0.81,AA-,5.79%,139.21 ,140.6,49.7,-0.80%,9,聚飞转债
29,永兴转债,128110,2020/7/8,永兴材料,002756,钢铁,炼钢,122.5,0.78%,-0.39%,18.29,0.55%,5,0.60%,113.2,17.16,1.9,106.59,14.90%,4月1天,5.81年,3.81年,10.60%,11.30%,7,66,-1.37%,-1.77%,-4.13%,-4.30%,86.22,86.67,41.34%,0.71,AA,4.79%,137.40 ,138.4,51.7,-3.80%,4,永兴转债
53,应急转债,123048,2020/5/11,中船应急,300527,机械装备,专用设备,122.351,0.62%,1.72%,10.38,3.08%,18,1.80%,113.1,8.9,4.49,116.63,4.90%,2月1天,5.65年,3.65年,8.60%,10.10%,8.2,95,-1.41%,-1.81%,-4.30%,-4.47%,88.37,89.59,36.57%,0.76,AA+,4.29%,127.25 ,128.1,38.5,2.40%,11,应急转债
250,大族转债!,128035,2018/3/5,大族激光,002008,机械装备,专用设备,113.5,0.33%,-0.18%,39.78,0.91%,27,1.00%,108,52.1,5.07,76.35,48.70%,转股中,3.48年,1.48年,5.40%,4.10%,23,424,-1.44%,-1.86%,-4.98%,-5.47%,97.73,94.04,20.69%,0.16,AA+,4.12%,162.20 ,150.6,52.9,-1.10%,19,大族转债!
32,宝通转债,123053,2020/7/1,宝通科技,300031,通信互联,互联网,131.83,-0.51%,1.47%,22.7,1.34%,30,4.60%,121.3,20.8,3.24,109.13,20.80%,3月27天,5.80年,3.80年,5.60%,6.10%,5,90,-1.45%,-2.06%,-5.81%,-5.99%,83.56,88.11,49.62%,0.72,AA-,5.79%,152.63 ,154.5,66.4,-9.70%,3,宝通转债
239,华通转债!,128040,2018/7/13,华通医药,002758,医药,医药商业,118.996,0.25%,-0.08%,11.42,0.26%,3.6,1.30%,112.3,11.29,3.8,101.15,17.60%,转股中,3.83年,1.83年,9.30%,9.40%,2.2,24,-1.53%,-2.10%,-7.12%,-7.37%,92.25,91.45,30.12%,0.63,AA-,5.62%,136.60 ,136.8,44.6,-2.00%,30,华通转债!
181,现代转债,110057,2019/4/30,现代制药,600420,医药,化学制药,118.85,0.54%,-0.35%,10.55,0.29%,9.5,0.50%,110.8,9.89,1.45,106.67,11.40%,转股中,4.63年,2.63年,14.90%,15.90%,16,108,-1.53%,-1.95%,-4.94%,-5.15%,93.62,94.3,26.03%,0.66,AAA,3.62%,130.25 ,131,36.7,-1.70%,22,现代转债
201,中天转债!,110051,2019/3/22,中天科技,600522,通信互联,通信设备,122.12,-0.31%,0.50%,11.26,0.27%,55,1.10%,113.9,10.09,1.67,111.6,9.40%,转股中,4.54年,2.54年,11.50%,12.80%,40,345,-1.55%,-2.09%,-6.02%,-6.24%,92.81,95.19,28.29%,0.7,AA+,4.12%,131.52 ,132.6,37.5,-2.80%,29,中天转债!
195,博彦转债,128057,2019/4/2,博彦科技,002649,计算机及,软件开发,125.56,1.92%,1.09%,10.9,3.61%,249,37.20%,117.1,8.72,2.09,125,0.40%,转股中,4.55年,2.55年,9.30%,11.70%,5.4,58,-1.55%,-2.19%,-6.90%,-7.13%,89.45,91.79,36.79%,0.83,AA-,5.62%,125.96 ,126.1,34.3,14.40%,30,博彦转债
86,宏辉转债,113565,2020/3/16,宏辉果蔬,603336,农业,农产品加,128.79,-1.78%,0.15%,13.13,-1.87%,142,32.60%,118.2,10,3.32,131.3,-1.90%,18天,5.53年,3.53年,7.70%,10.20%,3.3,43,-1.57%,-2.13%,-5.65%,-5.84%,84.76,87.18,47.73%,0.87,AA-,5.79%,126.89 ,126.3,39.1,-4.30%,16,宏辉转债
35,楚江转债,128109,2020/6/23,楚江新材,002171,有色金属,铜金属,126.202,0.16%,1.23%,9.68,1.89%,14,0.60%,115.3,8.73,2.42,110.88,13.80%,3月26天,5.80年,3.80年,14.20%,15.70%,18,129,-1.57%,-2.03%,-4.85%,-5.02%,86.37,88.35,42.84%,0.73,AA,4.79%,140.00 ,141.5,53.2,0.20%,4,楚江转债
132,川投转债,110061,2019/12/2,川投能源,600674,能源电力,水电,120.65,0.92%,-0.32%,9.91,0.92%,2.3,0.00%,111,9.58,1.62,103.44,16.60%,转股中,5.24年,3.24年,9.20%,9.50%,40,436,-1.61%,-1.98%,-4.44%,-4.62%,91.29,91.68,31.60%,0.65,AAA,3.79%,137.25 ,137.9,46.2,3.30%,16,川投转债
44,康隆转债,113580,2020/5/20,康隆达,603665,服装纺织,服装行业,132.85,0.76%,0.77%,20.44,1.79%,106,40.10%,121.2,15.51,1.97,131.79,0.80%,2月14天,5.69年,3.69年,6.60%,8.70%,2,30,-1.63%,-2.25%,-6.19%,-6.37%,84.02,88.6,49.94%,0.85,AA-,5.79%,133.65 ,133.9,45.3,-0.20%,8,康隆转债
90,柳药转债,113563,2020/2/24,柳药股份,603368,医药,医药商业,123.77,-0.48%,1.14%,25.17,0.96%,2.2,0.20%,113.2,24.47,1.43,102.86,20.30%,转股中,5.42年,3.42年,8.80%,9.00%,8,91,-1.66%,-2.09%,-4.86%,-5.04%,87.83,88.29,40.19%,0.68,AA,4.79%,144.07 ,144.7,56.4,-1.20%,15,柳药转债
30,寿仙转债,113585,2020/7/7,寿仙谷,603896,医药,中药,129.7,1.00%,0.88%,39.38,2.10%,35,7.50%,117.8,28.68,4.67,137.31,-5.50%,4月1天,5.81年,3.81年,6.40%,8.70%,3.6,57,-1.67%,-2.19%,-5.42%,-5.60%,83.44,85.52,51.66%,0.89,AA-,5.79%,124.20 ,122.1,36.6,1.70%,7,寿仙转债
166,三星转债,113536,2019/6/24,三星新材,603578,家电,零部件制,124.61,0.16%,0.86%,23.35,1.35%,15,7.90%,114.8,19.54,3.37,119.5,4.30%,转股中,4.79年,2.79年,7.00%,8.30%,1.5,21,-1.73%,-2.26%,-6.19%,-6.39%,90.49,92.84,34.22%,0.76,AA,4.62%,128.91 ,129.7,36.9,-4.30%,40,三星转债
105,联得转债,123038,2020/1/22,联得装备,300545,机械装备,专用设备,130.575,-0.32%,1.09%,32.77,0.86%,28,10.60%,119.1,25.29,6.84,129.58,0.80%,转股中,5.36年,3.36年,4.20%,5.50%,2,47,-1.74%,-2.34%,-6.23%,-6.44%,81.17,81.63,59.96%,0.89,A+,7.49%,131.38 ,131.6,49.9,3.90%,15,联得转债
96,乐普转债!,123040,2020/1/23,乐普医疗,300003,医药,医疗器械,120.18,0.53%,0.12%,38.8,0.65%,120,25.80%,111.1,32.19,8.85,120.53,-0.30%,转股中,4.38年,2.38年,0.60%,0.70%,3.9,691,-1.80%,-2.25%,-6.24%,-6.38%,92.12,93.29,28.82%,1,AA+,4.12%,119.88 ,119.8,26.5,-9.30%,18,乐普转债!
3,宏川转债,128121,2020/8/7,宏川智慧,002930,交通运输,物流业,125.9,-0.71%,0.99%,21.23,0.38%,18,2.10%,113.3,20.25,3.84,104.84,20.10%,5月12天,5.92年,3.92年,7.10%,7.50%,6.7,94,-1.80%,-2.19%,-4.65%,-4.82%,82.66,81.72,54.06%,0.76,AA-,5.79%,146.00 ,147,64.3,-1.20%,2,宏川转债
46,全筑转债,113578,2020/5/19,全筑股份,603030,建筑,装饰工程,131.13,-0.61%,0.85%,6.75,0.30%,33,6.40%,118.3,5.43,1.68,124.31,5.50%,2月11天,5.68年,3.68年,10.60%,13.10%,3.8,36,-1.83%,-2.37%,-5.95%,-6.12%,86.87,91.16,43.85%,0.79,AA,4.79%,136.63 ,138,46.8,-8.20%,6,全筑转债
251,无锡转债!,110043,2018/3/14,无锡银行,600908,金融,银行行业,116.32,1.14%,0.08%,5.8,2.11%,42,1.20%,109.1,5.79,0.93,100.17,16.10%,转股中,3.46年,无权,28.00%,28.00%,30,107,-1.86%,-2.34%,无权,无权,无权,95.09,22.33%,0.57,AA+,4.12%,132.42 ,132.5,37.4,0.60%,34,无锡转债!
34,家悦转债,113584,2020/6/24,家家悦,603708,商业零售,超市,129.41,-0.15%,2.10%,41.71,2.66%,21,2.50%,115.3,37.97,8.2,109.85,17.80%,3月28天,5.80年,3.80年,2.50%,2.80%,6.5,254,-2.00%,-2.46%,-5.45%,-5.61%,86.36,88.34,46.49%,0.74,AA,4.79%,147.21 ,149,60.6,-1.00%,3,家悦转债
121,明阳转债!,113029,2020/1/7,明阳智能,601615,能源电力,风能,125.99,0.38%,1.25%,15.18,2.02%,39,1.80%,113.3,12.46,3.05,121.83,3.40%,转股中,5.33年,3.33年,8.00%,9.70%,17,213,-2.01%,-2.44%,-5.44%,-5.63%,88.28,88.74,41.98%,0.81,AA,4.79%,129.39 ,130.2,41.4,-0.70%,24,明阳转债!
72,三祥转债!,113572,2020/4/9,三祥新材,603663,其他,其他,126.89,1.33%,0.88%,18.45,2.44%,11,4.30%,113.2,14.19,6.32,130.02,-2.40%,33天,5.57年,3.57年,5.80%,7.60%,2.1,35,-2.06%,-2.48%,-5.30%,-5.47%,79.38,76.32,66.26%,0.91,A+,7.49%,124.49 ,123.8,44.4,-0.50%,14,三祥转债!
266,众信转债!,128022,2017/12/28,众信旅游,002707,旅游餐饮,旅游,117.76,-1.25%,1.41%,8.73,0.23%,37,6.80%,109.8,7.91,3.64,110.37,6.70%,转股中,3.29年,1.29年,5.80%,6.40%,4.6,79,-2.14%,-2.68%,-9.11%,-9.41%,96.06,94.91,24.08%,0.71,AA,4.62%,124.46 ,125.2,29.1,-11.70%,26,众信转债!
127,烽火转债,110062,2019/12/25,烽火通信,600498,通信互联,通信设备,124.48,-0.54%,0.87%,27.74,0.47%,33,0.90%,111,25.65,3.08,108.15,15.10%,转股中,5.30年,3.30年,9.50%,10.30%,31,325,-2.18%,-2.55%,-5.23%,-5.41%,91.1,91.49,36.06%,0.7,AAA,3.79%,139.58 ,140.8,49.3,-2.70%,20,烽火转债
82,盛屯转债!,110066,2020/3/31,盛屯矿业,600711,有色金属,有色行业,129.99,-0.44%,-0.87%,6.17,-1.59%,55,1.80%,115.3,4.88,1.57,126.43,2.80%,21天,5.54年,3.54年,16.80%,21.20%,24,142,-2.18%,-2.65%,-5.94%,-6.11%,87.41,89.42,45.37%,0.82,AA,4.79%,132.79 ,133.5,44.1,0.00%,48,盛屯转债!
120,木森转债!,128084,2020/1/10,木林森,002745,电子,LED制,131.9,-0.29%,-0.06%,16.95,-0.35%,193,9.50%,117.3,12.8,2.11,132.42,-0.40%,转股中,5.33年,3.33年,7.00%,9.20%,15,220,-2.22%,-2.76%,-6.68%,-6.86%,88.28,91.86,43.59%,1,AA,4.79%,131.50 ,131.4,39.5,-0.20%,21,木森转债!
282,洪涛转债!,128013,2016/8/23,洪涛股份,002325,建筑,装饰工程,114.8,0.52%,0.11%,3.48,0.87%,30,2.20%,109.8,3.1,1.44,112.26,2.30%,转股中,1.95年,回售中,27.60%,31.00%,12,43,-2.28%,-3.18%,回售中,回售中,100.3,99.05,15.90%,0.73,AA-,5.47%,117.10 ,117.3,17,5.10%,90,洪涛转债!
218,张行转债,128048,2018/11/29,张家港行,002839,金融,银行行业,125.4,0.63%,0.54%,6.37,1.76%,71,2.30%,113.9,5.76,1.08,110.59,13.40%,转股中,4.24年,无权,21.70%,24.00%,25,115,-2.29%,-2.86%,无权,无权,无权,96.33,30.18%,0.67,AA+,4.12%,138.80 ,140.2,43.9,0.60%,15,张行转债
80,康弘转债,128098,2020/3/31,康弘药业,002773,医药,化学制药,133,-0.01%,0.12%,43.85,0.14%,32,1.50%,116.3,35.3,7.98,124.22,7.10%,26天,5.55年,3.55年,4.20%,5.30%,16,384,-2.43%,-2.93%,-6.51%,-6.68%,87.38,90.16,47.52%,0.82,AA,4.79%,140.10 ,141.8,51.6,-7.10%,23,康弘转债
240,三力转债!,128039,2018/6/29,三 力 士,002224,机械装备,专用设备,120.751,-0.62%,0.38%,6.64,-0.30%,18,7.10%,109.8,5.81,2.15,114.29,5.70%,转股中,3.81年,1.81年,4.20%,4.80%,2,48,-2.50%,-2.96%,-7.98%,-8.20%,92.11,89.47,34.96%,0.78,AA-,5.62%,126.45 ,127.2,35.1,-0.50%,19,三力转债!
22,晨光转债,123055,2020/7/13,晨光生物,300138,食品饮料,食品加工,144.24,1.69%,-5.64%,15.57,-4.77%,28,3.20%,124.3,12.25,4.65,127.1,13.50%,4月9天,5.84年,3.84年,7.90%,10.00%,6.3,80,-2.56%,-3.23%,-7.87%,-8.05%,83.41,90.11,60.07%,0.83,AA-,5.79%,157.74 ,161.4,71.3,-2.30%,4,晨光转债
101,唐人转债!,128092,2020/1/22,唐人神,002567,农业,畜牧业,132.399,-1.27%,0.49%,11.48,-0.78%,138,13.60%,115.3,8.63,2.69,133.02,-0.50%,转股中,5.37年,3.37年,8.00%,10.60%,7.7,96,-2.59%,-3.07%,-6.71%,-6.89%,88.12,90.14,46.88%,1,AA,4.79%,131.90 ,131.8,41.6,-2.10%,30,唐人转债!
189,伊力转债!,110055,2019/4/4,伊力特,600197,食品饮料,白酒,129.6,1.99%,3.49%,20.14,7.01%,35,3.20%,115,16.81,3.26,119.81,8.20%,转股中,4.58年,2.58年,10.00%,11.90%,8.7,87,-2.63%,-3.19%,-7.94%,-8.15%,91.55,93.92,37.99%,0.78,AA,4.62%,137.80 ,139.4,45.5,0.30%,27,伊力转债!
163,蓝晓转债!,123027,2019/7/4,蓝晓科技,300487,化工,化工,136,0.17%,-0.20%,40.1,-0.02%,13,4.40%,119.5,29.33,6.35,136.72,-0.50%,转股中,4.82年,2.82年,2.70%,3.60%,2.2,84,-2.71%,-3.37%,-8.55%,-8.80%,84.76,85.73,58.64%,1,A+,7.32%,135.50 ,135.3,49.6,1.80%,21,蓝晓转债!
38,益丰转债,113583,2020/6/22,益丰药房,603939,医药,医药商业,134.8,1.48%,0.87%,87.8,2.88%,43,2.10%,115.3,71.82,7.06,122.25,10.30%,3月23天,5.79年,3.79年,3.40%,4.10%,16,466,-2.71%,-3.16%,-6.44%,-6.60%,86.4,88.39,52.51%,0.82,AA,4.79%,145.10 ,147.3,59,0.70%,7,益丰转债
191,浙商转债!!,113022,2019/3/28,浙商证券,601878,金融,证券行业,124.31,0.99%,-0.54%,15.47,0.45%,460,20.90%,109.8,12.37,3.51,125.06,-0.60%,转股中,4.57年,无权,3.30%,4.20%,18,535,-2.73%,-3.11%,无权,无权,无权,93.63,32.77%,1,AAA,3.62%,123.71 ,123.6,29.9,-5.60%,23,浙商转债!!
88,恩捷转债!,128095,2020/2/28,恩捷股份,002812,电子,元器件制,134.38,1.81%,0.53%,80.29,2.87%,47,2.20%,115.3,64.49,14.13,124.5,7.90%,1.1天,5.49年,3.49年,2.50%,3.10%,16,647,-2.80%,-3.27%,-6.88%,-7.06%,87.64,89.64,49.91%,0.81,AA,4.79%,142.28 ,144.3,54.6,4.20%,17,恩捷转债!
87,奥佳转债!,128097,2020/3/18,奥佳华,002614,机械装备,专用设备,134.999,0.77%,0.00%,15.2,0.86%,43,2.70%,115.3,10.69,2.55,142.19,-5.10%,17天,5.53年,3.53年,14.10%,20.00%,12,85,-2.86%,-3.33%,-6.93%,-7.10%,87.48,89.48,50.87%,0.89,AA,4.79%,129.90 ,127.8,38.3,16.50%,27,奥佳转债!
287,国贸转债!,110033,2016/1/19,厦门国贸,600755,交通运输,交通运输,114.18,0.23%,-0.12%,7.05,0.28%,2.7,0.20%,109.7,7.19,0.94,98.05,16.40%,转股中,1.39年,回售中,9.30%,9.10%,12,130,-2.87%,-4.12%,回售中,回售中,100.28,104.68,9.08%,0.37,AAA,3.47%,130.58 ,130.3,25.6,0.70%,16,国贸转债!
7,龙大转债,128119,2020/8/7,龙大肉食,002726,食品饮料,肉制品,142.4,-0.07%,-0.26%,12.11,-0.41%,332,24.40%,120.2,9.56,4.65,126.67,12.40%,5月4天,5.91年,3.91年,7.90%,10.00%,9.5,121,-2.87%,-3.43%,-7.54%,-7.69%,85.84,91.61,55.44%,0.81,AA,4.79%,154.80 ,158.1,66.5,7.50%,4,龙大转债
56,长集转债,128105,2020/5/13,长青集团,002616,城市公用,三废处理,135.59,0.44%,1.99%,10.9,2.83%,5.9,0.50%,115.3,8.11,3.29,134.4,0.90%,2月0天,5.65年,3.65年,9.90%,13.30%,8,81,-2.88%,-3.34%,-6.82%,-6.99%,86.99,88.99,52.37%,0.86,AA,4.79%,136.49 ,136.8,47.8,0.90%,6,长集转债
21,润达转债,113588,2020/7/13,润达医疗,603108,医药,医疗器械,135.27,2.83%,-2.32%,15.08,0.67%,28,3.80%,114.2,13.36,3.13,112.87,19.80%,4月9天,5.84年,3.84年,6.30%,7.10%,5.5,87,-2.91%,-3.32%,-6.47%,-6.63%,86.13,87.35,54.86%,0.76,AA,4.79%,155.07 ,157.7,70.3,1.60%,5,润达转债
94,博威转债!,113031,2020/2/17,博威合金,601137,有色金属,铜金属,126.74,-0.09%,0.64%,14.51,0.55%,137,12.90%,111.3,11.29,2.49,128.52,-1.40%,转股中,4.40年,3.40年,8.50%,10.90%,8.5,99,-2.94%,-3.39%,-5.54%,-5.71%,88.31,91.46,38.57%,1,AA,4.62%,125.34 ,125,33.5,-6.40%,14,博威转债!
156,好客转债,113542,2019/8/23,好莱客,603898,其他,家居用品,133,0.00%,0.91%,21.36,1.09%,98,12.30%,114.9,16.27,2.84,131.28,1.30%,转股中,4.96年,2.96年,9.10%,12.00%,6,66,-2.96%,-3.47%,-7.80%,-7.98%,89.9,92.22,44.22%,0.84,AA,4.62%,134.30 ,134.7,42.5,17.80%,21,好客转债
162,华钰转债!!,113027,2019/7/10,华钰矿业,601020,有色金属,锌铅镍锡,132.75,-1.03%,0.39%,13.53,-0.73%,237,52.50%,114.9,10.17,3.46,133.04,-0.20%,转股中,4.83年,2.83年,4.50%,5.90%,3.3,74,-3.00%,-3.52%,-8.07%,-8.26%,87.92,88.69,49.68%,0.87,AA-,5.62%,132.55 ,132.5,43.8,-3.30%,49,华钰转债!!
57,东时转债,113575,2020/4/30,东方时尚,603377,其他,其他,134.63,2.78%,0.86%,21,4.01%,26,4.50%,113.5,14.56,7.18,144.23,-6.70%,2月0天,5.65年,3.65年,3.50%,5.00%,4.3,123,-3.03%,-3.44%,-6.64%,-6.81%,87.02,87.61,53.67%,0.91,AA,4.79%,127.93 ,125,37.4,0.40%,16,东时转债
148,桃李转债!,113544,2019/10/15,桃李面包,603866,食品饮料,休闲食品,134.75,1.84%,2.50%,59.89,5.14%,36,2.70%,115.3,46.54,10.43,128.69,4.70%,转股中,5年35天,3年35天,2.50%,3.30%,10,395,-3.07%,-3.58%,-7.77%,-7.96%,89.27,91.31,47.57%,0.84,AA,4.79%,139.45 ,140.8,49.5,3.20%,18,桃李转债!
171,雅化转债!,128065,2019/5/10,雅化集团,002497,化工,化工,128,1.09%,-0.71%,10.43,0.48%,9.5,0.90%,110.9,8.95,3.75,116.54,9.80%,转股中,4.67年,2.67年,8.00%,9.30%,8,100,-3.08%,-3.49%,-7.32%,-7.52%,91.09,90.21,41.89%,0.79,AA,4.62%,137.80 ,139.5,48.4,6.80%,23,雅化转债!
141,英联转债,128079,2019/11/21,英联股份,002846,造纸包装,包装材料,138.191,-5.49%,5.80%,17.12,0.35%,250,113%,117.9,13.41,4.91,127.67,8.20%,转股中,5.18年,3.18年,4.60%,5.80%,1.6,34,-3.08%,-3.65%,-8.21%,-8.41%,81.96,81.8,68.94%,0.87,A+,7.49%,146.39 ,148.7,66.8,-0.70%,19,英联转债
19,雪榕转债,123056,2020/7/24,雪榕生物,300511,农业,种植业,145,-0.30%,0.25%,18.02,-0.06%,68,8.00%,121.1,11.89,4.06,151.56,-4.30%,4月21天,5.86年,3.86年,7.30%,11.10%,5.9,80,-3.08%,-3.67%,-7.99%,-8.16%,83.13,87.67,65.39%,0.92,AA-,5.79%,140.70 ,138.4,50.8,2.80%,6,雪榕转债
168,一心转债,128067,2019/5/17,一心堂,002727,医药,医药商业,130.7,2.53%,1.91%,33.35,5.37%,67,8.70%,112.9,26.83,4.04,124.3,5.10%,转股中,4.67年,2.67年,3.20%,3.90%,6,191,-3.14%,-3.61%,-7.98%,-8.18%,91.06,91.8,42.37%,0.83,AA,4.62%,135.80 ,137.1,45.3,2.50%,19,一心转债
109,日月转债!,113558,2020/1/14,日月股份,603218,机械装备,通用设备,136.44,0.94%,0.66%,19.01,1.60%,54,19.10%,115.3,13.84,2.85,137.36,-0.70%,转股中,5.35年,3.35年,1.50%,2.00%,2.1,141,-3.15%,-3.63%,-7.55%,-7.73%,88.2,90.22,51.23%,1,AA,4.79%,135.74 ,135.5,45.3,-1.70%,18,日月转债!
122,金牌转债,113553,2020/1/7,金牌厨柜,603180,其他,家居用品,147.71,4.83%,0.51%,65.93,5.93%,261,48.30%,124.6,44.14,3.83,149.37,-1.10%,转股中,5.33年,3.33年,6.00%,9.00%,3.7,62,-3.20%,-3.93%,-9.63%,-9.81%,85.73,92.93,58.95%,0.9,AA-,5.79%,146.61 ,146.1,53.1,19.60%,15,金牌转债
6,欣旺转债,123058,2020/8/7,欣旺达,300207,电子,电子产品,140.65,2.96%,3.61%,26.03,8.23%,344,22.10%,116.3,21.28,7.04,122.32,15.00%,5月7天,5.91年,3.91年,2.70%,3.40%,11,408,-3.22%,-3.68%,-7.24%,-7.39%,85.93,88.66,58.64%,0.8,AA,4.79%,155.65 ,159,70.3,11.70%,3,欣旺转债
103,麦米转债!,128089,2020/1/21,麦格米特,002851,电子,电子产品,134.99,2.58%,-0.25%,27.29,2.32%,79,22.80%,113.3,20.15,6.4,135.43,-0.30%,转股中,5.36年,3.36年,2.00%,2.80%,2.6,128,-3.27%,-3.70%,-7.25%,-7.43%,85.3,84.32,60.09%,1,AA-,5.79%,134.69 ,134.5,49.2,-8.30%,16,麦米转债!
106,深南转债!,128088,2020/1/16,深南电路,002916,电子,元器件制,137.222,0.90%,0.18%,145.56,1.08%,155,19.60%,115.1,105.79,9.71,137.59,-0.30%,转股中,5.36年,3.36年,0.80%,1.10%,5.8,702,-3.28%,-3.76%,-7.73%,-7.90%,88,90.01,52.45%,1,AA,4.79%,136.92 ,136.9,46.8,-6.00%,31,深南转债!
